Descricao;IdCidade;BairroId
Abraão Alab;7614;1
Adalberto Aragão;7614;2
Aeroporto Velho;7614;3
Areal;7614;5
Aviário;7614;6
Bahia Velha;7614;7
Bahia Nova;7614;8
Baixa da Colina;7614;9
Base;7614;10
Bosque;7614;12
Cidade Nova;7614;13
Cadeia Velha;7614;14
Calafate;7614;15
Capoeira;7614;16
Centro;7614;17
Cerâmica;7614;18
Chácara Ipê;7614;19
Conquista;7614;20
Distrito Industrial;7614;22
Estação Experimental;7614;24
Floresta Sul;7614;25
Geraldo Fleming;7614;26
Ipase;7614;27
Ivete Vargas;7614;28
Isaura Parente;7614;29
Jardim de Alah;7614;30
Jardim Europa;7614;31
José Augusto;7614;32
João Eduardo I;7614;33
Morada do Sol;7614;36
Nova Estação;7614;37
Novo Horizonte;7614;38
Palheiral;7614;39
Papouco;7614;40
Placas;7614;41
Plácido de Castro;7614;42
Preventório;7614;43
Quinze;7614;45
Santa Inês;7614;46
Santa Quitéria;7614;47
São Francisco;7614;48
Seis de Agosto;7614;50
Sobral;7614;51
Tancredo Neves;7614;52
Taquarí;7614;53
Triângulo Novo;7614;55
Vila Acre;7614;57
Alto do Cruzeiro;574;59
Baixa Grande;574;60
Baixão;574;61
Boa Vista;574;62
Brasília;574;63
Brasiliana;574;64
Cacimbas;574;65
Caititus;574;66
Canafístula;574;67
Capiatã;574;68
Cavaco;574;69
Centro;574;70
Eldorado;574;71
Guaribas;574;72
Itapoã;574;73
Jardim Esperança;574;74
Jardim Tropical;574;75
Manoel Teles;574;76
Nova Esperança;574;77
Novo Horizonte;574;78
Olho D'Água dos Cazuzinhos;574;79
Ouro Preto;574;80
Planalto;574;81
Zélia Barbosa Rocha;574;82
Primavera;574;83
Santa Edwiges;574;84
Santa Esmeralda;574;85
São Luiz;574;86
Senador Arnon de Melo;574;87
Senador Teotônio Vilela;574;88
Verdes Campos;574;89
Santos Dumont;5177;90
Antares;5177;91
Barro Duro;5177;92
Bebedouro;5177;93
Benedito Bentes;5177;95
Bom Parto;5177;96
Canaã;5177;97
Centro;5177;98
Chã da Jaqueira;5177;99
Cruz das Almas;5177;100
Farol;5177;101
Feitosa;5177;102
Fernão Velho;5177;103
Ipioca;5177;104
Gruta de Lourdes;5177;105
Jacarecica;5177;107
Jacintinho;5177;108
Jaraguá;5177;109
Jatiúca;5177;110
Levada;5177;111
Mangabeiras;5177;112
Mutange;5177;113
Ouro Preto;5177;114
Pajuçara;5177;115
Pinheiro;5177;116
Pitanguinha;5177;117
Poço;5177;118
Ponta da Terra;5177;119
Ponta Grossa;5177;120
Ponta Verde;5177;121
Pontal da Barra;5177;122
Prado;5177;123
Riacho Doce;5177;124
Rio Novo;5177;125
Santa Amélia;5177;126
Serraria;5177;128
Tabuleiro do Martins;5177;129
Trapiche da Barra;5177;130
Vergel do Lago;5177;131
Alto do Cruzeiro;6412;132
Centro;6412;133
Sonho Verde;6412;134
Jardim Brasil;6412;135
Juca Sampaio;6412;136
Palmeira de Fora;6412;137
Paraíso;6412;138
Ribeira;6412;139
São Cristóvão;6412;140
São Francisco;6412;141
Tenório Cavalcante;6412;142
Vila Maria;6412;144
Xucurus;6412;146
Adrianópolis;5250;147
Aleixo;5250;148
Alvorada;5250;149
Nossa Senhora Aparecida;5250;150
Armando Mendes;5250;151
Betânia;5250;152
Cachoeirinha;5250;153
Centro;5250;154
Chapada;5250;155
Cidade Nova;5250;156
Colônia Antônio Aleixo;5250;157
Colônia Oliveira Machado;5250;158
Colônia Santo Antônio;5250;159
Colônia Terra Nova;5250;160
Compensa;5250;161
Coroado;5250;162
Crespo;5250;163
Distrito Industrial I;5250;164
Dom Pedro I;5250;165
Educandos;5250;166
Flores;5250;167
Glória;5250;168
Japiim;5250;169
Jorge Teixeira;5250;170
Lírio do Vale;5250;171
Mauazinho;5250;172
Monte das Oliveiras;5250;173
Morro da Liberdade;5250;174
Nossa Senhora das Graças;5250;175
Nova Esperança;5250;176
Novo Israel;5250;177
Parque 10 de Novembro;5250;178
Da Paz;5250;179
Petrópolis;5250;180
Planalto;5250;181
Ponta Negra;5250;182
Praça 14 de Janeiro;5250;183
Presidente Vargas;5250;184
Puraquequara;5250;185
Raiz;5250;186
Redenção;5250;187
Santa Etelvina;5250;188
Santa Luzia;5250;189
Santo Agostinho;5250;190
Santo Antônio;5250;191
São Francisco;5250;192
São Geraldo;5250;193
São Jorge;5250;194
São José Operário;5250;195
São Lázaro;5250;196
São Raimundo;5250;197
Tancredo Neves;5250;198
Tarumã;5250;199
Vila Buriti;5250;200
Vila da Prata;5250;201
Zumbi dos Palmares;5250;202
Centro;6542;203
Djard Vieira;6542;204
Emílio Moreira;6542;205
Palmares;6542;207
Santa Clara;6542;208
Santa Rita de Cássia;6542;209
São Benedito;6542;210
São José Operário;6542;212
São Vicente de Paula;6542;213
Alvorada;5168;214
Beirol;5168;215
Buritizal;5168;216
Central;5168;217
Congós;5168;218
Jardim Felicidade;5168;220
Jardim Marco Zero;5168;221
Jesus de Nazaré;5168;222
Julião Ramos;5168;223
Muca;5168;224
Nova Esperança;5168;225
Pacoval;5168;226
Perpétuo Socorro;5168;227
Santa Inês;5168;228
Santa Rita;5168;229
São Lázaro;5168;230
Trem;5168;231
Alagoinhas Velha;167;232
Barreiro;167;233
Catu;167;234
Centro;167;235
