CidadeId;Descricao;IdUf
1;Abacate da Pedreira;4
2;Abadia;5
3;Abadia de Goiás;9
4;Abadia dos Dourados;11
5;Abadiânia;9
6;Abaeté;11
7;Abaeté dos Mendes;11
8;Abaetetuba;14
9;Abaiara;6
10;Abaíba;11
11;Abaíra;5
12;Abapã;18
13;Abaré;5
14;Abarracamento;19
15;Abatiá;18
16;Abdon Batista;24
17;Abel Figueiredo;14
18;Abelardo Luz;24
19;Abelhas;5
20;Abílio Martins;6
21;Abóbora;5
22;Abrantes;5
23;Abre Campo;11
24;Abreu e Lima;16
25;Abreulândia;27
26;Abreus;11
27;Abunã;21
28;Acaiaca;11
29;Açailândia;10
30;Acajutiba;5
31;Acampamento das Minas;18
32;Acará;14
33;Acarape;6
34;Acaraú;6
35;Acari;20
36;Acauã;17
37;Aceguá;23
38;Acioli;8
39;Açoita Cavalo;23
40;Acopiara;6
41;Acorizal;13
42;Acrelândia;1
43;Acreúna;9
44;Açu;20
45;Açu da Torre;5
46;Açucena;11
47;Açude dos Pinheiros;6
48;Açudina;5
49;Açudinho;6
50;Açudinho dos Costas;6
51;Açungui;18
52;Acupe;5
53;Acuruí;11
54;Adamantina;26
55;Adão Colares;11
56;Adelândia;9
57;Adhemar de Barros;18
58;Adolfo;26
59;Adrianópolis;6
60;Adrianópolis;18
61;Adro de São Gonçalo;5
62;Adustina;5
63;Afligidos;5
64;Afogados da Ingazeira;16
65;Afonso Arinos;19
66;Afonso Bezerra;20
67;Afonso Cláudio;8
68;Afonso Cunha;10
69;Afonso Rodrigues;23
70;Afrânio;16
71;Afrânio Peixoto;5
72;Afuá;14
73;Aghá;8
74;Agisse;26
75;Agostinho;18
76;Agrestina;16
77;Agricolândia;17
78;Agrolândia;24
79;Agronômica;24
80;Agrópolis Bela Vista;14
81;Agrovila São Sebastião do Caburi;3
82;Água Azul;18
83;Água Azul do Norte;14
84;Água Boa;11
85;Água Boa;13
86;Água Boa;12
87;Água Boa;18
88;Água Branca;2
89;Água Branca;15
90;Água Branca;17
91;Água Branca;18
92;Água Branca de Minas;11
93;Água Clara;12
94;Água Comprida;11
95;Água da Prata;13
96;Água Doce;5
97;Água Doce;24
98;Água Doce do Maranhão;10
99;Água Doce do Norte;8
100;Água Fria;5
101;Água Fria;16
102;Água Fria;6
103;Água Fria;14
104;Água Fria;13
105;Água Fria de Goiás;9
106;Água Limpa;9
107;Água Mineral;18
108;Água Nova;20
109;Água Preta;16
110;Água Santa;23
111;Água Santa de Minas;11
112;Água Verde;6
113;Água Vermelha;26
114;Água Vermelha;18
115;Água Viva;11
116;Aguaçu;13
117;Aguaí;26
118;Aguaí;6
119;Aguanil;11
120;Aguapeí;13
121;Aguapés;23
122;Águas Belas;16
123;Águas Belas;6
124;Águas Brancas;24
125;Águas Claras;13
126;Águas Claras;24
127;Águas Claras;23
128;Águas da Prata;26
129;Águas de Chapecó;24
130;Águas de Contendas;11
131;Águas de Lindóia;26
132;Águas de Santa Bárbara;26
133;Águas de São Pedro;26
134;Águas do Paulista;5
135;Águas Férreas;11
136;Águas Formosas;11
137;Águas Frias;24
138;Águas Lindas de Goiás;9
139;Águas Mornas;24
140;Águas Vermelhas;11
141;Agudo;23
142;Agudos;26
143;Agudos do Sul;18
144;Águia Branca;8
145;Aguiar;15
146;Aguiarnópolis;27
147;Agulha;26
148;Aguti;24
149;Aimorés;11
150;Ainhumas;13
151;Aiquara;5
152;Airi;16
153;Airituba;8
154;Aiuá;6
155;Aiuaba;6
156;Aiurê;24
157;Aiuruoca;11
158;Ajapi;26
159;Ajuricaba;23
160;Alagoa;11
161;Alagoa Grande;15
162;Alagoa Nova;15
163;Alagoinha;16
164;Alagoinha;15
165;Alagoinha;6
166;Alagoinha do Piauí;17
167;Alagoinhas;5
168;Alambari;26
169;Alazans;6
170;Albardão;23
171;Albertina;11
172;Alberto Isaacson;11
173;Alberto Moreira;26
174;Albertos;11
175;Albuquerque;12
176;Albuquerque Né;16
177;Alcântara;10
178;Alcântaras;6
179;Alcantil;15
180;Alcantilado;13
181;Alcinópolis;12
182;Alcobaça;5
183;Aldeia;11
184;Aldeias Altas;10
185;Alecrim;2
186;Alecrim;18
187;Alecrim;23
188;Alegre;8
189;Alegre;11
190;Alegre;5
191;Alegrete;23
192;Alegrete do Piauí;17
193;Alegria;11
194;Alegria;23
195;Além Paraíba;11
196;Alenquer;14
197;Alexandra;18
198;Alexandria;20
199;Alexandrita;11
200;Alexânia;9
201;Alfenas;11
202;Alfredo Brenner;23
203;Alfredo Chaves;8
204;Alfredo Guedes;26
205;Alfredo Marcondes;26
206;Alfredo Vasconcelos;11
207;Alfredo Wagner;24
208;Algodão;5
209;Algodão de Jandaíra;15
210;Algodoal;14
211;Algodões;5
212;Algodões;16
213;Algodões;6
214;Alhandra;15
215;Aliança;16
216;Aliança do Tocantins;27
217;Almadina;5
218;Almas;27
219;Almeida;11
220;Almeirim;14
221;Almenara;11
222;Almino Afonso;20
223;Almirante Tamandaré;18
224;Almirante Tamandaré do Sul;23
225;Almoço;14
226;Almofala;6
227;Aloândia;9
228;Alpercata;11
229;Alpestre;23
230;Alpinópolis;11
231;Alta Floresta;13
232;Alta Floresta D'Oeste;21
233;Alta Pará;14
234;Altair;26
235;Altamira;14
236;Altamira do Maranhão;10
237;Altamira do Paraná;18
238;Altaneira;6
239;Altaneira;18
240;Alter do Chão;14
241;Alterosa;11
242;Altinho;16
243;Altinópolis;26
244;Alto Alegre;26
245;Alto Alegre;22
246;Alto Alegre;18
247;Alto Alegre;24
248;Alto Alegre;23
249;Alto Alegre do Iguaçu;18
250;Alto Alegre do Maranhão;10
251;Alto Alegre do Pindaré;10
252;Alto Alegre dos Parecis;21
253;Alto Alvorada;9
254;Alto Amparo;18
255;Alto Araguaia;13
256;Alto Bela Vista;24
257;Alto Belo;11
258;Alto Boa Vista;13
259;Alto Bonito;5
260;Alto Calçado;8
261;Alto Caldeirão;8
262;Alto Caparaó;11
263;Alto Capim;11
264;Alto Castelinho;8
265;Alto Coité;13
266;Alto da Serra;24
267;Alto da União;23
268;Alto de Santa Helena;11
269;Alto do Amparo;18
270;Alto do Rodrigues;20
271;Alto Erval Novo;23
272;Alto Feliz;23
273;Alto Garças;13
274;Alto Horizonte;9
275;Alto Jequitibá;11
276;Alto Juruena;13
277;Alto Lindo;6
278;Alto Longá;17
279;Alto Maranhão;11
280;Alto Mutum Preto;8
