CidAdaptadaId;Codigo;Diagnostico
1;A00.9;Cólera
2;A000;Cólera devida a Vibrio cholerae 01, biótipo cholerae
3;A001;Cólera devida a Vibrio cholerae 01, biótipo El Tor
4;A009;Cólera não especificada
5;A010;Febre tifóide
6;A011;Febre paratifóide A
7;A012;Febre paratifóide B
8;A013;Febre paratifóide C
9;A014;Febre paratifóide não especificada
10;A02.0;Enterite por Salmonella
11;A02.9;Salmonelose
12;A020;Enterite por salmonela
13;A021;Septicemia por salmonela
14;A022;Infecções localizadas por salmonela
15;A028;Outras infecções especificadas por salmonela
16;A029;Infecção não especificada por salmonela
17;A03;Shiguelose
18;A030;Shiguelose devida a Shigella dysenteriae
19;A031;Shiguelose devida a Shigella flexneri
20;A032;Shiguelose devida a Shigella boydii
21;A033;Shiguelose devida a Shigella sonnei
22;A038;Outras shigueloses
23;A039;Shiguelose não especificada
24;A04.9;Infecção intestinal bacteriana
25;A040;Infecção por Escherichia coli enteropatogênica
26;A041;Infecção por Escherichia coli enterotoxigênica
27;A042;Infecção por Escherichia coli enteroinvasiva
28;A043;Infecção por Escherichia coli enterohemorrágica
29;A044;Outras infecções intestinais por Escherichia coli
30;A045;Enterite por Campylobacter
31;A046;Enterite devida a Yersinia enterocolítica
32;A047;Enterocolite devida a Clostridium difficile
33;A048;Outras infecções bacterianas intestinais especificadas
34;A049;Infecção intestinal bacteriana não especificada
35;A05.9;Intoxicação alimentar bacteriana
36;A050;Intoxicação alimentar estafilocócica
37;A051;Botulismo
38;A052;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
39;A053;Intoxicação alimentar devida a Vibrio parahemolyticus
40;A054;Intoxicação alimentar devida a Bacillus cereus
41;A058;Outras intoxicações alimentares bacterianas especificadas
42;A059;Intoxicação alimentar bacteriana não especificada
43;A06.9;Amebíase
44;A060;Disenteria amebiana aguda
45;A061;Amebíase intestinal crônica
46;A062;Colite amebiana não-disentérica
47;A063;Ameboma intestinal
48;A064;Abscesso amebiano do fígado
49;A065;Abscesso amebiano do pulmão
50;A066;Abscesso amebiano do cérebro
51;A067;Amebíase cutânea
52;A068;Infecção amebiana de outras localizações
53;A069;Amebíase não especificada
54;A07.1;Giardíase
55;A070;Balantidíase
56;A071;Giardíase [lamblíase]
57;A072;Criptosporidiose
58;A073;Isosporíase
59;A078;Outras doenças intestinais especificadas por protozoários
60;A079;Doença intestinal não especificada por protozoários
61;A080;Enterite por rotavírus
62;A081;Gastroenteropatia aguda pelo agente de Norwalk
63;A082;Enterite por adenovírus
64;A083;Outras enterites virais
65;A084;Infecção intestinal devida a vírus não especificado
66;A085;Outras infecções intestinais especificadas
67;A09;Diarréia
68;A09;Diarréia e gastroenterite de origem infecciosa presumível
69;A09;Gastroenterite
70;A09;Gastroenterocolite
71;A15;Tuberculose Pulmonar
72;A150;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura
73;A151;Tuberculose pulmonar, com confirmação somente por cultura
74;A152;Tuberculose pulmonar, com confirmação histológica
75;A153;Tuberculose pulmonar, com confirmação por meio não especificado
76;A154;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica
77;A155;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica
78;A156;Pleuris tuberculoso, com confirmação bacteriológica e histológica
79;A157;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica
80;A158;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica
81;A159;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica
82;A160;Tuberculose pulmonar com exames bacteriológico e histológico negativos
83;A161;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico
84;A162;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica
85;A163;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica
86;A164;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica
87;A165;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica
88;A167;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
89;A168;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica
90;A169;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica
91;A170;Meningite tuberculosa
92;A171;Tuberculoma meníngeo
93;A178;Outras tuberculoses do sistema nervoso
94;A179;Tuberculose não especificada do sistema nervoso
95;A180;Tuberculose óssea e das articulações
96;A181;Tuberculose do aparelho geniturinário
97;A182;Linfadenopatia tuberculosa periférica
98;A183;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos
99;A184;Tuberculose de pele e do tecido celular subcutâneo
100;A185;Tuberculose do olho
101;A186;Tuberculose do ouvido
